HiveID,CliID,Number,Year,Season,Status,Place,Cause.of.death,DeadCnt,SuperLoc,SuperCli,MaxHive,RepCnt,Y_LOC,Wgt_Y,City,Water_Pct,NDVI_mean,Canopy_Pct,Tree_Nec,Tree_Pol,Tree_NP,Build_Pct,Hghwy_len,ArtTot_len,NO2_mean,AQI,O3,Smoke,PM25_mean,BckYrdDup_mean,BckYrd_mean,Own_mean,MedInc_mean,HvCnt_Full,Nobuild_Pct,NoTree_Pct,NDVI_0_20,NDVI_20_50,NDVI_50_100,Out_Pct,HvCnt,HvCnt_Jenks,HvCnt_log,HvCnt_log2,Status_Binary,MedInc_Qrt,MedInc_Q1,Water_Bi,Water_Pct_1,Build_Pct_1,Hghwy_len_Binary
228.1,228,1,2019,Spg,Dead,Ground,Undiagnosed,6,FALSE,FALSE,3,2,3176,0.000944584,MTL,0,0.112320854,0.135108486,2032,2425,2425,0.391055758,5331.5514,18062.87492,19.29312375,33.34,22.09,6.82,7.77714892,0.040418609,0.039560114,0.364588725,48012.15597,344,0,0,0.820960699,0.177874818,0.001164483,NA,60,50+,4.094344562,5.906890596,0,2,0,0,0.01,0.401055758,1
228.2,228,2,2019,Spg,Healthy,Ground,Unknown,3,FALSE,FALSE,3,1,3176,0.000944584,MTL,0,0.112320854,0.135108486,2032,2425,2425,0.391055758,5331.5514,18062.87492,19.29312375,33.34,22.09,6.82,7.77714892,0.040418609,0.039560114,0.364588725,48012.15597,344,0,0,0.820960699,0.177874818,0.001164483,NA,60,50+,4.094344562,5.906890596,1,2,0,0,0.01,0.401055758,1
228.3,228,3,2019,Spg,Dead,Ground,Undiagnosed,3,FALSE,FALSE,3,1,3176,0.000944584,MTL,0,0.112320854,0.135108486,2032,2425,2425,0.391055758,5331.5514,18062.87492,19.29312375,33.34,22.09,6.82,7.77714892,0.040418609,0.039560114,0.364588725,48012.15597,344,0,0,0.820960699,0.177874818,0.001164483,NA,60,50+,4.094344562,5.906890596,0,2,0,0,0.01,0.401055758,1
228.1,228,1,2020,Spg,Healthy,Ground,Unknown,6,FALSE,FALSE,3,3,2870,0.001045296,MTL,0,0.112320854,0.135108486,2032,2425,2425,0.391055758,5331.5514,18062.87492,19.29312375,33.34,22.09,6.82,7.77714892,0.040418609,0.039560114,0.364588725,48012.15597,344,0,0,0.820960699,0.177874818,0.001164483,NA,67,50+,4.204692619,6.06608919,1,2,0,0,0.01,0.401055758,1
228.2,228,2,2020,Spg,Healthy,Ground,Unknown,3,FALSE,FALSE,3,1,2870,0.001045296,MTL,0,0.112320854,0.135108486,2032,2425,2425,0.391055758,5331.5514,18062.87492,19.29312375,33.34,22.09,6.82,7.77714892,0.040418609,0.039560114,0.364588725,48012.15597,344,0,0,0.820960699,0.177874818,0.001164483,NA,67,50+,4.204692619,6.06608919,1,2,0,0,0.01,0.401055758,1
228.1,228,1,2021,Spg,Dead,Ground,Undiagnosed,6,FALSE,FALSE,3,3,2801,0.001071046,MTL,0,0.112320854,0.135108486,2032,2425,2425,0.391055758,5331.5514,18062.87492,19.29312375,33.34,22.09,6.82,7.77714892,0.040418609,0.039560114,0.364588725,48012.15597,344,0,0,0.820960699,0.177874818,0.001164483,NA,71,50+,4.262679877,6.14974712,0,2,0,0,0.01,0.401055758,1
228.2,228,2,2021,Spg,Dead,Ground,Undiagnosed,3,FALSE,FALSE,3,1,2801,0.001071046,MTL,0,0.112320854,0.135108486,2032,2425,2425,0.391055758,5331.5514,18062.87492,19.29312375,33.34,22.09,6.82,7.77714892,0.040418609,0.039560114,0.364588725,48012.15597,344,0,0,0.820960699,0.177874818,0.001164483,NA,71,50+,4.262679877,6.14974712,0,2,0,0,0.01,0.401055758,1
228.1,228,1,2022,Sum,Healthy,Ground,Unknown,6,FALSE,FALSE,3,4,2214,0.001355014,MTL,0,0.112320854,0.135108486,2032,2425,2425,0.391055758,5331.5514,18062.87492,19.29312375,33.34,22.09,6.82,7.77714892,0.040418609,0.039560114,0.364588725,48012.15597,344,0,0,0.820960699,0.177874818,0.001164483,NA,80,50+,4.382026635,6.321928095,1,2,0,0,0.01,0.401055758,1
228.2,228,2,2022,Sum,Healthy,Ground,Unknown,3,FALSE,FALSE,3,2,2214,0.001355014,MTL,0,0.112320854,0.135108486,2032,2425,2425,0.391055758,5331.5514,18062.87492,19.29312375,33.34,22.09,6.82,7.77714892,0.040418609,0.039560114,0.364588725,48012.15597,344,0,0,0.820960699,0.177874818,0.001164483,NA,80,50+,4.382026635,6.321928095,1,2,0,0,0.01,0.401055758,1
286.1,286,1,2018,Spg,Dead,Unknown,Undiagnosed,1,FALSE,FALSE,1,0,2955,0.000338409,MTL,0,0.180203211,0.2454787,2958,4739,4751,0.334567439,3104.484244,5986.514803,16.05629122,38.83,22.09,6.86,7.779934271,0.185212537,0.026976683,0.276650278,48065.25524,22,0,0,0.618118264,0.375182057,0.00669968,NA,7,<10,1.945910149,2.807354922,0,2,0,0,0.01,0.344567439,1
558.1,558,1,2018,Sum,Healthy,Unknown,Unknown,0,TRUE,TRUE,1,0,2955,0.000338409,MTL,0.334104775,0.174765287,0.152658314,2088.958511,2819.535445,2819,0.100029807,5770.220004,2064.027151,13.85939338,35.91,22.47,6.87,7.84467838,0.594148088,0.144139865,0.347310809,48170.27668,7,0,0.10481707,0.540768783,0.446126966,0.013104252,NA,1,<2,0,0,1,2,0,1,0.344104775,0.110029807,1
776.1,776,1,2020,Sum,Healthy,Roof,Unknown,0,TRUE,TRUE,2,0,2870,0.000696864,MTL,0.290212656,0.155163481,0.145278608,408.9241707,546.2271769,546,0.142133374,0,2389.179194,12.13982327,35.91,22.47,6.87,7.96003122,0.434071491,0.138274806,0.369983784,48211.47517,10,0,0.66497456,0.654820856,0.335275269,0.009903874,NA,2,<2,0.693147181,1,1,2,0,1,0.300212656,0.152133374,0
776.2,776,2,2020,Sum,Healthy,Roof,Unknown,0,TRUE,TRUE,2,0,2870,0.000696864,MTL,0.290212656,0.155163481,0.145278608,408.9241707,546.2271769,546,0.142133374,0,2389.179194,12.13982327,35.91,22.47,6.87,7.96003122,0.434071491,0.138274806,0.369983784,48211.47517,10,0,0.66497456,0.654820856,0.335275269,0.009903874,NA,2,<2,0.693147181,1,1,2,0,1,0.300212656,0.152133374,0
776.1,776,1,2021,Spg,Healthy,Roof,Unknown,0,TRUE,TRUE,2,0,2801,0.000714031,MTL,0.290212656,0.155163481,0.145278608,408.9241707,546.2271769,546,0.142133374,0,2389.179194,12.13982327,35.91,22.47,6.87,7.96003122,0.434071491,0.138274806,0.369983784,48211.47517,10,0,0.66497456,0.654820856,0.335275269,0.009903874,NA,2,<2,0.693147181,1,1,2,0,1,0.300212656,0.152133374,0
776.2,776,2,2021,Spg,Healthy,Roof,Unknown,0,TRUE,TRUE,2,0,2801,0.000714031,MTL,0.290212656,0.155163481,0.145278608,408.9241707,546.2271769,546,0.142133374,0,2389.179194,12.13982327,35.91,22.47,6.87,7.96003122,0.434071491,0.138274806,0.369983784,48211.47517,10,0,0.66497456,0.654820856,0.335275269,0.009903874,NA,2,<2,0.693147181,1,1,2,0,1,0.300212656,0.152133374,0
776.1,776,1,2022,Sum,Healthy,Roof,Unknown,0,TRUE,TRUE,2,0,2214,0.000903342,MTL,0.290212656,0.155163481,0.145278608,408.9241707,546.2271769,546,0.142133374,0,2389.179194,12.13982327,35.91,22.47,6.87,7.96003122,0.434071491,0.138274806,0.369983784,48211.47517,10,0,0.66497456,0.654820856,0.335275269,0.009903874,NA,3,<5,1.098612289,1.584962501,1,2,0,1,0.300212656,0.152133374,0
776.2,776,2,2022,Sum,Healthy,Roof,Unknown,0,TRUE,TRUE,2,0,2214,0.000903342,MTL,0.290212656,0.155163481,0.145278608,408.9241707,546.2271769,546,0.142133374,0,2389.179194,12.13982327,35.91,22.47,6.87,7.96003122,0.434071491,0.138274806,0.369983784,48211.47517,10,0,0.66497456,0.654820856,0.335275269,0.009903874,NA,3,<5,1.098612289,1.584962501,1,2,0,1,0.300212656,0.152133374,0
371.1,371,1,2018,Spg,Dead,Ground,Undiagnosed,1,FALSE,FALSE,1,0,2955,0.000338409,MTL,0.119002681,0.181107503,0.177366724,2052,2757,2760,0.235791979,0,1617.087497,13.46179182,33.34,23.77,6.96,8.159428766,0.191797502,0.056723717,0.283682961,48389.55342,13,0,0,0.64531159,0.336633663,0.018054747,NA,4,<5,1.386294361,2,0,2,0,1,0.129002681,0.245791979,0
475.1,475,1,2018,Sum,Healthy,Roof,Unknown,2,FALSE,FALSE,1,0,2955,0.000338409,MTL,0.021496799,0.188125225,0.208445008,1357,1828,1833,0.182673994,3053.327123,5510.68724,16.9123982,35.91,22.47,6.92,8.06294567,0.341819456,0.103854753,0.316058713,48589.73711,11,0,0,0.598484848,0.353146853,0.048368298,NA,2,<2,0.693147181,1,1,2,0,1,0.031496799,0.192673994,1
475.1,475,1,2019,Spg,Dead,Roof,Undiagnosed,2,FALSE,FALSE,1,0,3176,0.000314861,MTL,0.021496799,0.188125225,0.208445008,1357,1828,1833,0.182673994,3053.327123,5510.68724,16.9123982,35.91,22.47,6.92,8.06294567,0.341819456,0.103854753,0.316058713,48589.73711,11,0,0,0.598484848,0.353146853,0.048368298,NA,2,<2,0.693147181,1,0,2,0,1,0.031496799,0.192673994,1
